"";"UF";"V2007";"V403312";"se"
"Rondônia.Homem";"Rondônia";"Homem";2079,68578430043;100,437572946479
"Acre.Homem";"Acre";"Homem";1871,11941029459;84,6826424822857
"Amazonas.Homem";"Amazonas";"Homem";1713,84615344489;128,881846932754
"Roraima.Homem";"Roraima";"Homem";2274,5947383792;198,89927633494
"Pará.Homem";"Pará";"Homem";1480,31923908448;49,063570807464
"Amapá.Homem";"Amapá";"Homem";1849,58377968008;130,544136135375
"Tocantins.Homem";"Tocantins";"Homem";1857,43777536984;127,053692193916
"Maranhão.Homem";"Maranhão";"Homem";1354,95363052374;52,8062032956453
"Piauí.Homem";"Piauí";"Homem";1343,1028950554;83,1926046034906
"Ceará.Homem";"Ceará";"Homem";1684,61964372321;85,4043453175615
"Rio Grande do Norte.Homem";"Rio Grande do Norte";"Homem";1801,39760165644;135,561148710636
"Paraíba.Homem";"Paraíba";"Homem";1623,28734720426;105,749966512588
"Pernambuco.Homem";"Pernambuco";"Homem";1723,05574078119;96,402721740832
"Alagoas.Homem";"Alagoas";"Homem";1519,58297606991;73,501416420379
"Sergipe.Homem";"Sergipe";"Homem";1638,065236745;122,61789573985
"Bahia.Homem";"Bahia";"Homem";1651,69404427158;106,496610136998
"Minas Gerais.Homem";"Minas Gerais";"Homem";2169,95002582891;51,2230479706443
"Espírito Santo.Homem";"Espírito Santo";"Homem";2412,41094068937;105,067422748363
"Rio de Janeiro.Homem";"Rio de Janeiro";"Homem";2978,42533877835;98,3041026823485
"São Paulo.Homem";"São Paulo";"Homem";3178,43098765713;137,609379019599
"Paraná.Homem";"Paraná";"Homem";2781,25368861153;90,3910971299532
"Santa Catarina.Homem";"Santa Catarina";"Homem";2793,90768248296;64,479072672219
"Rio Grande do Sul.Homem";"Rio Grande do Sul";"Homem";2806,9760904258;102,816030317493
"Mato Grosso do Sul.Homem";"Mato Grosso do Sul";"Homem";2536,30567554769;97,2748656295943
"Mato Grosso.Homem";"Mato Grosso";"Homem";2433,66158908042;81,3406952750413
"Goiás.Homem";"Goiás";"Homem";2249,93495500833;67,7317623934784
"Distrito Federal.Homem";"Distrito Federal";"Homem";4326,01460973345;234,367077443685
"Rondônia.Mulher";"Rondônia";"Mulher";1606,18355909828;68,3814111400206
"Acre.Mulher";"Acre";"Mulher";1719,24964438091;72,7326816157993
"Amazonas.Mulher";"Amazonas";"Mulher";1567,17824506119;79,1400869297729
"Roraima.Mulher";"Roraima";"Mulher";1777,67738643701;119,844031238847
"Pará.Mulher";"Pará";"Mulher";1387,10829292001;58,5427803947417
"Amapá.Mulher";"Amapá";"Mulher";1825,32381758242;131,732072823373
"Tocantins.Mulher";"Tocantins";"Mulher";1730,7083222143;117,739109330824
"Maranhão.Mulher";"Maranhão";"Mulher";1213,9592883008;61,0405848423832
"Piauí.Mulher";"Piauí";"Mulher";1165,86559477165;73,73421621072
"Ceará.Mulher";"Ceará";"Mulher";1405,02185052842;69,3202932127853
"Rio Grande do Norte.Mulher";"Rio Grande do Norte";"Mulher";1472,64188732072;138,441663883689
"Paraíba.Mulher";"Paraíba";"Mulher";1389,21398546148;100,989337463732
"Pernambuco.Mulher";"Pernambuco";"Mulher";1513,88347179882;100,727322067187
"Alagoas.Mulher";"Alagoas";"Mulher";1331,34772086362;65,8661879845147
"Sergipe.Mulher";"Sergipe";"Mulher";1425,09877332908;116,182957448598
"Bahia.Mulher";"Bahia";"Mulher";1335,31217506095;66,621895930283
"Minas Gerais.Mulher";"Minas Gerais";"Mulher";1509,28354711193;38,0734835135364
"Espírito Santo.Mulher";"Espírito Santo";"Mulher";1761,93445572859;67,4850656485718
"Rio de Janeiro.Mulher";"Rio de Janeiro";"Mulher";2322,35321769384;69,31996869968
"São Paulo.Mulher";"São Paulo";"Mulher";2316,52152828024;76,4308626164548
"Paraná.Mulher";"Paraná";"Mulher";1989,89854365485;47,0804587459681
"Santa Catarina.Mulher";"Santa Catarina";"Mulher";2065,85337979251;40,8522597481032
"Rio Grande do Sul.Mulher";"Rio Grande do Sul";"Mulher";2039,84333860842;59,8161100986853
"Mato Grosso do Sul.Mulher";"Mato Grosso do Sul";"Mulher";1784,94775080773;76,3279095678918
"Mato Grosso.Mulher";"Mato Grosso";"Mulher";1814,61616720705;58,2768644757323
"Goiás.Mulher";"Goiás";"Mulher";1658,03160647796;55,1533888729704
"Distrito Federal.Mulher";"Distrito Federal";"Mulher";3383,33274651188;184,169300598769
