;V12;estudo_med;V2007
1;1;11,52307607;Mulher
2;2;11,36884162;Mulher
3;3;11,30264722;Mulher
4;4;11,3089809;Mulher
5;5;11,4346098;Mulher
6;6;11,55043051;Mulher
7;7;10,61315835;Mulher
8;8;11,65910422;Mulher
9;9;11,88678705;Mulher
10;10;11,66757428;Mulher
11;11;11,65598162;Mulher
12;12;11,41431838;Mulher
13;13;11,06851607;Mulher
14;14;11,40045293;Mulher
15;15;11,6190336;Mulher
16;16;12,09539968;Mulher
17;17;10,98278187;Mulher
18;18;11,60967509;Mulher
19;19;11,70233364;Mulher
20;20;12,32273905;Mulher
21;21;11,49944237;Mulher
22;22;11,89106446;Mulher
23;23;9,580408051;Mulher
24;24;11,45610797;Mulher
25;36;11,42872018;Mulher
26;48;11,45065621;Mulher
27;60;10,69450751;Mulher
28;72;10,85085126;Mulher
29;84;11,48408103;Mulher
30;96;10,34546462;Mulher
31;108;11,63247894;Mulher
32;120;10,78046544;Mulher
33;132;7,678441618;Mulher
34;144;10,41204153;Mulher
35;156;11,78027033;Mulher
36;168;11,15762722;Mulher
37;180;10,52286408;Mulher
38;192;5,026969417;Mulher
39;204;14,780022;Mulher
40;216;8,319488857;Mulher
41;228;12;Mulher
42;240;7,280907884;Mulher
43;252;14;Mulher
44;264;6;Mulher
45;300;12;Mulher
46;324;15;Mulher
47;360;8,220516912;Mulher
48;480;1;Mulher
50;1;9,961553403;Homem
51;2;10,06650708;Homem
52;3;10,40497971;Homem
53;4;10,78628082;Homem
54;5;10,02118411;Homem
55;6;10,76294905;Homem
56;7;10,30459338;Homem
57;8;10,70321537;Homem
58;9;11,23609339;Homem
59;10;11,69290165;Homem
60;11;11,07997868;Homem
61;12;10,93446006;Homem
62;13;10,5123539;Homem
63;14;10,86995039;Homem
64;15;11,0321073;Homem
65;16;11,93370758;Homem
66;17;10,47614848;Homem
67;18;11,05488744;Homem
68;19;9,283417714;Homem
69;20;12,39774942;Homem
70;21;10,85666264;Homem
71;22;11,19250032;Homem
72;23;11,42745278;Homem
73;24;10,92023416;Homem
74;36;10,78957039;Homem
75;48;10,78648102;Homem
76;60;10,20149412;Homem
77;72;11,38615017;Homem
78;84;12,06074886;Homem
79;96;11,20036006;Homem
80;108;8,533231768;Homem
81;120;9,457092671;Homem
82;144;12,29508674;Homem
83;156;12,49633364;Homem
84;180;11,1012351;Homem
85;204;3;Homem
86;216;9;Homem
87;240;7,022429788;Homem
88;396;13;Homem
